181248 155 155 ID[24308] 文件[GlobalVar.cpp]行[146] 错误  节点[package/head/路由步进]没有配置，默认为16 
181248 170 170 ID[24308] 文件[GlobalVar.cpp]行[218] 提示  不启用处理线程，一个接收处理线程即可 
181248 170 170 ID[24308] 文件[GlobalVar.cpp]行[263] 提示  节点[package/head/客户端断开时间]没有配置,默认为300秒 
181248 170 170 ID[24308] 文件[GlobalVar.cpp]行[369] 提示  无数据总线级连 
181248 170 186 ID[24308] 文件[BFDreb.cpp]行[123] info  bf_dreb.exe[1.0.4 Mar 10 2021]启动成功,pid=24308,port=9011! 
181248 186 186 ID[24308] 文件[PoolModule.cpp]行[96] info  启动接收线程 0 
181259 236 236 ID[24308] 文件[MsgProcThread.cpp]行[270] 提示  无额外的总线连接 
181310 333 333 ID[24308] 文件[MsgProcThread.cpp]行[270] 提示  无额外的总线连接 
181321 418 418 ID[24308] 文件[MsgProcThread.cpp]行[270] 提示  无额外的总线连接 
181321 418 418 ID[24308] 文件[MsgProcThread.cpp]行[400] 提示  无额外的总线连接 
181332 484 484 ID[24308] 文件[MsgProcThread.cpp]行[270] 提示  无额外的总线连接 
181343 565 565 ID[24308] 文件[MsgProcThread.cpp]行[270] 提示  无额外的总线连接 
181354 633 633 ID[24308] 文件[MsgProcThread.cpp]行[270] 提示  无额外的总线连接 
181354 633 633 ID[24308] 文件[MsgProcThread.cpp]行[400] 提示  无额外的总线连接 
181405 699 699 ID[24308] 文件[MsgProcThread.cpp]行[270] 提示  无额外的总线连接 
181415 737 737 ID[24308] 文件[MsgProcThread.cpp]行[270] 提示  无额外的总线连接 
181426 803 803 ID[24308] 文件[MsgProcThread.cpp]行[270] 提示  无额外的总线连接 
181426 803 803 ID[24308] 文件[MsgProcThread.cpp]行[400] 提示  无额外的总线连接 
181437 869 869 ID[24308] 文件[MsgProcThread.cpp]行[270] 提示  无额外的总线连接 
181448 934 934 ID[24308] 文件[MsgProcThread.cpp]行[270] 提示  无额外的总线连接 
